-5,0,0,1,1,0.00150947
-4,-1,0,1,1,0.0003492566667
-4,0,0,1,1,0.001007016667
-4,1,0,1,1,0.0003492566667
-3,-1,0,1,1,-0.00085106
-3,0,0,1,1,-0.002396313333
-3,1,0,1,1,-0.00085106
-2,-1,0,1,1,-0.003514233333
-2,0,0,1,1,-0.0219111
-2,1,0,1,1,-0.003514233333
-1,-4,0,1,1,0.0003492566667
-1,-3,0,1,1,-0.00085106
-1,-2,0,1,1,-0.003514233333
-1,-1,0,1,1,0.0269663
-1,0,0,1,1,-0.1550696667
-1,1,0,1,1,0.0269663
-1,2,0,1,1,-0.003514233333
-1,3,0,1,1,-0.00085106
-1,4,0,1,1,0.0003492566667
0,-5,0,1,1,0.00150947
0,-4,0,1,1,0.001007016667
0,-3,0,1,1,-0.002396313333
0,-2,0,1,1,-0.0219111
0,-1,0,1,1,-0.1550696667
0,0,0,1,1,0.1165836667
0,1,0,1,1,-0.1550696667
0,2,0,1,1,-0.0219111
0,3,0,1,1,-0.002396313333
0,4,0,1,1,0.001007016667
0,5,0,1,1,0.00150947
1,-4,0,1,1,0.0003492566667
1,-3,0,1,1,-0.00085106
1,-2,0,1,1,-0.003514233333
1,-1,0,1,1,0.0269663
1,0,0,1,1,-0.1550696667
1,1,0,1,1,0.0269663
1,2,0,1,1,-0.003514233333
1,3,0,1,1,-0.00085106
1,4,0,1,1,0.0003492566667
2,-1,0,1,1,-0.003514233333
2,0,0,1,1,-0.0219111
2,1,0,1,1,-0.003514233333
3,-1,0,1,1,-0.00085106
3,0,0,1,1,-0.002396313333
3,1,0,1,1,-0.00085106
4,-1,0,1,1,0.0003492566667
4,0,0,1,1,0.001007016667
4,1,0,1,1,0.0003492566667
5,0,0,1,1,0.00150947
